order_id,order_date,customer_name,region,city,product_name,category,subcategory,quantity,unit_price,total_amount,payment_method,channel,status
ORD-2023000015,2024-06-23,Customer_129,West,Chengdu,Leather Boots,Clothing,Footwear,1,180.65,180.65,Alipay,Third-party,Completed
ORD-2023000016,2025-02-04,Customer_196,East,Nanjing,Standing Desk,Home & Garden,Furniture,5,453.93,2269.65,Alipay,Third-party,Returned
ORD-2023000017,2025-01-13,Customer_79,North,Shenyang,Camping Tent 4P,Sports,Outdoor,4,255.9,1023.6,Alipay,App,Processing
ORD-2023000018,2025-12-26,Customer_197,Central,Wuhan,MacBook Air,Electronics,Laptops,4,1312.67,5250.68,Alipay,Website,Cancelled
ORD-2023000019,2025-05-16,Customer_55,Central,Wuhan,Running Shoes Pro,Sports,Running,5,165.65,828.25,COD,Website,Shipped
ORD-2023000020,2025-11-25,Customer_116,West,Xi'an,Data Science 101,Books,Non-Fiction,3,49.06,147.18,Credit Card,Website,Processing
ORD-2023000021,2024-03-27,Customer_2,North,Tianjin,iPhone 15,Electronics,Smartphones,5,1015.16,5075.8,Credit Card,App,Processing
ORD-2023000022,2024-07-24,Customer_172,North,Beijing,Camping Tent 4P,Sports,Outdoor,1,300.27,300.27,Bank Transfer,Website,Returned
ORD-2023000023,2025-08-26,Customer_105,South,Xiamen,LED Floor Lamp,Home & Garden,Lighting,5,88.27,441.35,Alipay,App,Completed
ORD-2023000024,2023-04-21,Customer_173,West,Chongqing,Silk Dress,Clothing,Women's Wear,4,127.72,510.88,Credit Card,App,Cancelled
ORD-2023000025,2025-07-07,Customer_36,East,Shanghai,Canon EOS R6,Electronics,Cameras,2,2266.75,4533.5,Bank Transfer,Website,Shipped
ORD-2023000026,2023-07-20,Customer_13,West,Chengdu,MacBook Air,Electronics,Laptops,4,1309.8,5239.2,COD,App,Completed
ORD-2023000027,2025-04-01,Customer_16,South,Shenzhen,Silk Dress,Clothing,Women's Wear,4,128.28,513.12,Alipay,Phone,Completed
ORD-2023000028,2025-09-23,Customer_40,West,Chongqing,Leather Boots,Clothing,Footwear,3,155.33,465.99,Alipay,Store,Processing
ORD-2023000029,2023-04-28,Customer_13,North,Shenyang,Ceramic Mug Set,Home & Garden,Kitchenware,1,31.16,31.16,COD,Phone,Returned
ORD-2023000030,2024-01-16,Customer_18,Central,Wuhan,Galaxy S24,Electronics,Smartphones,5,785.76,3928.8,COD,App,Processing
ORD-2023000031,2023-03-23,Customer_159,West,Chengdu,LED Floor Lamp,Home & Garden,Lighting,2,91.11,182.22,Credit Card,Phone,Returned
ORD-2023000032,2024-10-05,Customer_62,Central,Changsha,Camping Tent 4P,Sports,Outdoor,3,272.47,817.41,WeChat Pay,Phone,Processing
ORD-2023000033,2023-07-24,Customer_19,East,Hangzhou,Camping Tent 4P,Sports,Outdoor,1,254.99,254.99,COD,Website,Returned
ORD-2023000034,2025-01-26,Customer_73,East,Shanghai,Dumbbell Set 20kg,Sports,Fitness Equipment,1,99.13,99.13,Alipay,Phone,Returned
ORD-2023000035,2024-09-05,Customer_170,East,Nanjing,Data Science 101,Books,Non-Fiction,5,42.61,213.05,Credit Card,Website,Shipped
ORD-2023000036,2024-03-07,Customer_184,North,Beijing,Ceramic Mug Set,Home & Garden,Kitchenware,2,27.02,54.04,WeChat Pay,Website,Shipped
ORD-2023000037,2025-05-17,Customer_71,Central,Zhengzhou,Running Shoes Pro,Sports,Running,1,130.78,130.78,Credit Card,App,Shipped
ORD-2023000038,2025-05-25,Customer_144,South,Xiamen,Running Shoes Pro,Sports,Running,2,159.78,319.56,Credit Card,App,Completed
ORD-2023000039,2023-10-31,Customer_111,South,Xiamen,Galaxy S24,Electronics,Smartphones,3,921.25,2763.75,Alipay,App,Shipped
ORD-2023000040,2023-07-30,Customer_91,East,Shanghai,Dumbbell Set 20kg,Sports,Fitness Equipment,2,93.86,187.72,COD,Phone,Returned
ORD-2023000041,2023-02-20,Customer_46,South,Shenzhen,Sony WH-1000XM5,Electronics,Headphones,2,388.93,777.86,WeChat Pay,Phone,Processing
ORD-2023000042,2023-03-21,Customer_121,East,Shanghai,Dark Chocolate Box,Food & Beverage,Snacks,1,14.46,14.46,Alipay,Website,Cancelled
ORD-2023000043,2024-01-31,Customer_103,East,Hangzhou,Canon EOS R6,Electronics,Cameras,2,2141.89,4283.78,WeChat Pay,Store,Completed
ORD-2023000044,2024-11-09,Customer_8,East,Hangzhou,Data Science 101,Books,Non-Fiction,5,48.49,242.45,Credit Card,Store,Processing
ORD-2023000045,2024-12-08,Customer_187,Central,Zhengzhou,Galaxy S24,Electronics,Smartphones,1,925.05,925.05,WeChat Pay,Phone,Returned
ORD-2023000046,2023-04-01,Customer_182,Central,Wuhan,Denim Jacket,Clothing,Men's Wear,5,71.65,358.25,Bank Transfer,App,Returned
ORD-2023000047,2023-05-24,Customer_171,Central,Changsha,Organic Coffee Beans,Food & Beverage,Beverages,2,19.18,38.36,WeChat Pay,Third-party,Shipped
ORD-2023000048,2025-04-16,Customer_84,North,Shenyang,Yoga Mat Premium,Sports,Yoga,5,46.2,231.0,Bank Transfer,Store,Returned
ORD-2023000049,2023-12-23,Customer_158,South,Shenzhen,Silk Dress,Clothing,Women's Wear,4,135.86,543.44,COD,Store,Cancelled
ORD-2023000050,2024-10-21,Customer_120,Central,Wuhan,Yoga Mat Premium,Sports,Yoga,3,44.74,134.22,Bank Transfer,Phone,Processing
ORD-2023000051,2024-11-17,Customer_24,Central,Zhengzhou,Sony WH-1000XM5,Electronics,Headphones,1,326.36,326.36,Alipay,Store,Processing
ORD-2023000052,2025-08-31,Customer_157,South,Shenzhen,iPhone 15,Electronics,Smartphones,1,922.53,922.53,Credit Card,Phone,Cancelled
ORD-2023000053,2024-05-14,Customer_38,Central,Wuhan,Dark Chocolate Box,Food & Beverage,Snacks,4,14.96,59.84,Credit Card,App,Cancelled
ORD-2023000054,2024-05-25,Customer_32,South,Shenzhen,Dark Chocolate Box,Food & Beverage,Snacks,5,14.83,74.15,Bank Transfer,Website,Cancelled
ORD-2023000055,2025-06-25,Customer_157,Central,Changsha,The Great Novel,Books,Fiction,3,28.36,85.08,COD,Phone,Returned
ORD-2023000056,2024-05-21,Customer_164,West,Chengdu,Wool Scarf,Clothing,Accessories,4,36.18,144.72,WeChat Pay,Third-party,Cancelled
ORD-2023000057,2024-04-25,Customer_70,South,Guangzhou,Leather Boots,Clothing,Footwear,1,169.19,169.19,WeChat Pay,Store,Returned
ORD-2023000058,2023-11-09,Customer_181,North,Beijing,AirPods Pro,Electronics,Headphones,2,240.26,480.52,Alipay,App,Cancelled
ORD-2023000059,2024-02-28,Customer_108,West,Chongqing,Ceramic Mug Set,Home & Garden,Kitchenware,4,28.27,113.08,Bank Transfer,Third-party,Completed
ORD-2023000060,2024-09-03,Customer_193,Central,Zhengzhou,Wool Scarf,Clothing,Accessories,1,44.18,44.18,Bank Transfer,Phone,Returned
ORD-2023000061,2025-06-11,Customer_125,Central,Changsha,Canon EOS R6,Electronics,Cameras,4,2288.65,9154.6,Credit Card,Phone,Shipped
ORD-2023000062,2025-12-29,Customer_7,West,Xi'an,Sony WH-1000XM5,Electronics,Headphones,4,392.93,1571.72,Bank Transfer,Third-party,Returned
ORD-2023000063,2025-08-03,Customer_47,North,Beijing,Data Science 101,Books,Non-Fiction,4,44.53,178.12,Credit Card,Store,Cancelled
ORD-2023000064,2025-02-15,Customer_72,East,Shanghai,Leather Boots,Clothing,Footwear,3,151.25,453.75,Bank Transfer,Store,Completed
ORD-2023000065,2024-12-17,Customer_58,West,Chengdu,Ceramic Mug Set,Home & Garden,Kitchenware,1,33.35,33.35,Credit Card,App,Completed
ORD-2023000066,2023-09-16,Customer_122,South,Shenzhen,iPhone 15,Electronics,Smartphones,5,894.82,4474.1,Credit Card,Third-party,Processing
ORD-2023000067,2023-08-23,Customer_200,West,Xi'an,Running Shoes Pro,Sports,Running,3,134.15,402.45,Alipay,Store,Completed
ORD-2023000068,2025-02-07,Customer_102,Central,Wuhan,Yoga Mat Premium,Sports,Yoga,5,51.61,258.05,Alipay,App,Returned
ORD-2023000069,2023-09-05,Customer_145,South,Shenzhen,Dark Chocolate Box,Food & Beverage,Snacks,3,16.57,49.71,Credit Card,Store,Returned
ORD-2023000070,2024-11-29,Customer_4,West,Xi'an,Dumbbell Set 20kg,Sports,Fitness Equipment,1,89.16,89.16,Bank Transfer,Phone,Completed
ORD-2023000071,2025-06-10,Customer_46,West,Chongqing,Data Science 101,Books,Non-Fiction,4,53.1,212.4,COD,Store,Returned
ORD-2023000072,2024-07-03,Customer_83,Central,Zhengzhou,Leather Boots,Clothing,Footwear,4,174.54,698.16,Alipay,App,Shipped
ORD-2023000073,2025-02-15,Customer_87,West,Chengdu,Leather Boots,Clothing,Footwear,5,164.26,821.3,Credit Card,Phone,Shipped
ORD-2023000074,2024-11-28,Customer_72,South,Guangzhou,iPad Air,Electronics,Tablets,3,652.52,1957.56,COD,Store,Returned
ORD-2023000075,2025-04-12,Customer_126,North,Shenyang,iPad Air,Electronics,Tablets,1,552.52,552.52,COD,Website,Cancelled
ORD-2023000076,2025-04-08,Customer_178,West,Chongqing,iPhone 15,Electronics,Smartphones,1,937.33,937.33,Alipay,Store,Returned
ORD-2023000077,2024-11-08,Customer_91,East,Hangzhou,Ceramic Mug Set,Home & Garden,Kitchenware,5,27.64,138.2,Bank Transfer,Store,Shipped
ORD-2023000078,2024-01-15,Customer_50,East,Shanghai,ThinkPad X1,Electronics,Laptops,2,1321.59,2643.18,Alipay,Phone,Shipped
ORD-2023000079,2024-02-02,Customer_76,Central,Changsha,The Great Novel,Books,Fiction,3,28.59,85.77,Alipay,Store,Processing
ORD-2023000080,2023-04-04,Customer_14,East,Shanghai,Dark Chocolate Box,Food & Beverage,Snacks,5,13.31,66.55,COD,Store,Processing
ORD-2023000081,2025-09-07,Customer_113,West,Chengdu,iPhone 15,Electronics,Smartphones,5,934.37,4671.85,WeChat Pay,Website,Completed
ORD-2023000082,2023-06-01,Customer_148,East,Hangzhou,ThinkPad X1,Electronics,Laptops,1,1357.33,1357.33,Credit Card,Website,Processing
ORD-2023000083,2025-05-02,Customer_156,Central,Zhengzhou,MacBook Air,Electronics,Laptops,2,1061.76,2123.52,COD,Third-party,Processing
ORD-2023000084,2025-05-28,Customer_79,Central,Zhengzhou,Leather Boots,Clothing,Footwear,4,149.33,597.32,COD,Third-party,Completed
ORD-2023000085,2024-06-25,Customer_170,Central,Changsha,ThinkPad X1,Electronics,Laptops,2,1451.68,2903.36,Credit Card,Website,Processing
ORD-2023000086,2025-07-11,Customer_177,South,Xiamen,MacBook Air,Electronics,Laptops,2,1020.11,2040.22,COD,Phone,Shipped
ORD-2023000087,2025-07-18,Customer_19,North,Beijing,Yoga Mat Premium,Sports,Yoga,3,51.98,155.94,Alipay,Store,Returned
ORD-2023000088,2023-11-02,Customer_69,South,Guangzhou,ThinkPad X1,Electronics,Laptops,5,1283.5,6417.5,Alipay,App,Completed
ORD-2023000089,2025-06-18,Customer_32,South,Guangzhou,The Great Novel,Books,Fiction,5,28.15,140.75,Bank Transfer,Store,Cancelled
ORD-2023000090,2023-03-23,Customer_111,East,Nanjing,Ceramic Mug Set,Home & Garden,Kitchenware,4,28.46,113.84,WeChat Pay,Third-party,Shipped
ORD-2023000091,2023-02-12,Customer_196,North,Beijing,Canon EOS R6,Electronics,Cameras,5,2564.32,12821.6,WeChat Pay,Third-party,Completed
ORD-2023000092,2024-01-07,Customer_150,South,Guangzhou,Standing Desk,Home & Garden,Furniture,4,561.29,2245.16,Bank Transfer,Phone,Completed
ORD-2023000093,2023-08-03,Customer_42,West,Chongqing,Silk Dress,Clothing,Women's Wear,3,122.07,366.21,WeChat Pay,Phone,Cancelled
ORD-2023000094,2023-06-30,Customer_81,East,Nanjing,Denim Jacket,Clothing,Men's Wear,5,68.02,340.1,WeChat Pay,Store,Completed
ORD-2023000095,2023-04-22,Customer_49,West,Xi'an,iPhone 15,Electronics,Smartphones,5,987.6,4938.0,COD,Store,Returned
ORD-2023000096,2023-09-26,Customer_74,West,Xi'an,Leather Boots,Clothing,Footwear,1,144.86,144.86,Bank Transfer,Phone,Completed
ORD-2023000097,2024-09-28,Customer_142,North,Shenyang,The Great Novel,Books,Fiction,2,26.56,53.12,Credit Card,Third-party,Cancelled
ORD-2023000098,2023-11-12,Customer_128,North,Beijing,ThinkPad X1,Electronics,Laptops,4,1586.63,6346.52,WeChat Pay,Third-party,Shipped
ORD-2023000099,2023-10-24,Customer_99,West,Chongqing,Wool Scarf,Clothing,Accessories,2,38.49,76.98,Alipay,Third-party,Returned
ORD-2023000100,2025-11-05,Customer_69,South,Shenzhen,Running Shoes Pro,Sports,Running,4,141.84,567.36,Credit Card,Store,Shipped
ORD-2023000101,2025-07-03,Customer_138,Central,Changsha,Organic Coffee Beans,Food & Beverage,Beverages,4,22.18,88.72,Bank Transfer,Store,Shipped
ORD-2023000102,2024-01-22,Customer_179,Central,Changsha,Denim Jacket,Clothing,Men's Wear,4,89.26,357.04,Alipay,Third-party,Cancelled
ORD-2023000103,2025-02-19,Customer_99,South,Guangzhou,Galaxy S24,Electronics,Smartphones,3,965.0,2895.0,Alipay,Phone,Completed
ORD-2023000104,2025-06-20,Customer_26,South,Xiamen,LED Floor Lamp,Home & Garden,Lighting,3,98.87,296.61,COD,Phone,Completed
ORD-2023000105,2024-06-26,Customer_87,South,Guangzhou,Data Science 101,Books,Non-Fiction,2,43.61,87.22,COD,Phone,Completed
ORD-2023000106,2025-09-26,Customer_139,East,Nanjing,Ceramic Mug Set,Home & Garden,Kitchenware,4,32.95,131.8,Credit Card,Third-party,Completed
ORD-2023000107,2023-07-05,Customer_112,South,Xiamen,Organic Coffee Beans,Food & Beverage,Beverages,3,22.97,68.91,Credit Card,App,Cancelled
ORD-2023000108,2023-04-25,Customer_76,South,Xiamen,Yoga Mat Premium,Sports,Yoga,1,42.33,42.33,WeChat Pay,Store,Cancelled
ORD-2023000109,2024-01-04,Customer_44,South,Shenzhen,Standing Desk,Home & Garden,Furniture,4,508.87,2035.48,Alipay,App,Returned
ORD-2023000110,2023-10-21,Customer_60,West,Xi'an,Organic Coffee Beans,Food & Beverage,Beverages,2,19.98,39.96,Bank Transfer,Store,Cancelled
ORD-2023000111,2023-11-20,Customer_19,East,Nanjing,iPhone 15,Electronics,Smartphones,4,1119.24,4476.96,Bank Transfer,Store,Returned
ORD-2023000112,2024-09-10,Customer_51,East,Nanjing,Silk Dress,Clothing,Women's Wear,3,127.33,381.99,Bank Transfer,Phone,Completed
ORD-2023000113,2024-08-27,Customer_6,South,Guangzhou,LED Floor Lamp,Home & Garden,Lighting,3,91.0,273.0,Bank Transfer,Store,Completed
ORD-2023000114,2024-08-09,Customer_199,Central,Changsha,Galaxy S24,Electronics,Smartphones,5,965.12,4825.6,Alipay,Third-party,Shipped
ORD-2023000115,2023-10-08,Customer_161,South,Xiamen,iPad Air,Electronics,Tablets,5,554.19,2770.95,Credit Card,App,Shipped
ORD-2023000116,2023-07-04,Customer_76,West,Chengdu,LED Floor Lamp,Home & Garden,Lighting,3,95.2,285.6,WeChat Pay,Phone,Processing
ORD-2023000117,2024-07-12,Customer_43,South,Shenzhen,Ceramic Mug Set,Home & Garden,Kitchenware,3,29.27,87.81,WeChat Pay,Phone,Shipped
ORD-2023000118,2024-04-07,Customer_174,East,Shanghai,Leather Boots,Clothing,Footwear,1,141.86,141.86,Bank Transfer,Third-party,Shipped
ORD-2023000119,2025-07-20,Customer_95,North,Tianjin,iPhone 15,Electronics,Smartphones,3,1009.96,3029.88,WeChat Pay,Third-party,Cancelled
ORD-2023000120,2024-11-02,Customer_157,East,Shanghai,Organic Coffee Beans,Food & Beverage,Beverages,2,19.82,39.64,Alipay,App,Cancelled
ORD-2023000121,2023-03-18,Customer_78,East,Nanjing,Silk Dress,Clothing,Women's Wear,1,115.06,115.06,Bank Transfer,App,Completed
ORD-2023000122,2025-05-08,Customer_151,South,Xiamen,AirPods Pro,Electronics,Headphones,4,245.54,982.16,Alipay,Phone,Completed
ORD-2023000123,2025-01-28,Customer_56,West,Xi'an,Silk Dress,Clothing,Women's Wear,3,110.92,332.76,Bank Transfer,Phone,Processing
ORD-2023000124,2025-01-04,Customer_16,East,Shanghai,Organic Coffee Beans,Food & Beverage,Beverages,3,20.26,60.78,Bank Transfer,Store,Processing
ORD-2023000125,2023-02-13,Customer_13,North,Tianjin,MacBook Air,Electronics,Laptops,2,1249.97,2499.94,WeChat Pay,Website,Processing
ORD-2023000126,2024-03-18,Customer_60,Central,Wuhan,MacBook Air,Electronics,Laptops,5,1093.66,5468.3,WeChat Pay,Website,Returned
ORD-2023000127,2023-12-24,Customer_29,North,Tianjin,AirPods Pro,Electronics,Headphones,2,252.0,504.0,Credit Card,Website,Completed
ORD-2023000128,2024-06-27,Customer_14,East,Shanghai,LED Floor Lamp,Home & Garden,Lighting,3,76.07,228.21,Alipay,Phone,Returned
ORD-2023000129,2025-01-11,Customer_132,North,Shenyang,MacBook Air,Electronics,Laptops,4,1180.39,4721.56,COD,App,Cancelled
ORD-2023000130,2025-12-03,Customer_78,Central,Wuhan,The Great Novel,Books,Fiction,1,26.69,26.69,Bank Transfer,App,Completed
ORD-2023000131,2025-06-27,Customer_19,West,Chongqing,Silk Dress,Clothing,Women's Wear,1,128.62,128.62,Credit Card,Store,Returned
ORD-2023000132,2024-10-27,Customer_98,South,Shenzhen,AirPods Pro,Electronics,Headphones,3,258.29,774.87,COD,Third-party,Shipped
ORD-2023000133,2023-08-23,Customer_168,West,Xi'an,The Great Novel,Books,Fiction,4,21.99,87.96,COD,Website,Cancelled
ORD-2023000134,2025-03-27,Customer_107,West,Chengdu,Silk Dress,Clothing,Women's Wear,3,141.67,425.01,Credit Card,Store,Cancelled
ORD-2023000135,2025-08-29,Customer_18,East,Nanjing,Running Shoes Pro,Sports,Running,3,169.28,507.84,Credit Card,App,Completed
ORD-2023000136,2024-11-06,Customer_172,West,Chengdu,Dumbbell Set 20kg,Sports,Fitness Equipment,2,90.51,181.02,Credit Card,Phone,Shipped
ORD-2023000137,2024-12-21,Customer_27,West,Xi'an,Galaxy S24,Electronics,Smartphones,3,926.08,2778.24,COD,Third-party,Processing
ORD-2023000138,2024-12-18,Customer_143,South,Xiamen,Wool Scarf,Clothing,Accessories,2,43.06,86.12,WeChat Pay,App,Shipped
ORD-2023000139,2023-02-23,Customer_156,Central,Wuhan,Silk Dress,Clothing,Women's Wear,5,147.36,736.8,WeChat Pay,App,Processing
ORD-2023000140,2024-01-07,Customer_37,East,Nanjing,Yoga Mat Premium,Sports,Yoga,3,46.81,140.43,COD,Phone,Completed
ORD-2023000141,2025-12-22,Customer_56,South,Xiamen,Data Science 101,Books,Non-Fiction,1,43.87,43.87,Bank Transfer,Phone,Cancelled
ORD-2023000142,2023-06-23,Customer_14,East,Shanghai,Dumbbell Set 20kg,Sports,Fitness Equipment,3,94.92,284.76,Alipay,Website,Returned
ORD-2023000143,2025-05-18,Customer_125,North,Shenyang,MacBook Air,Electronics,Laptops,3,1178.54,3535.62,COD,Phone,Cancelled
ORD-2023000144,2023-08-16,Customer_73,East,Shanghai,Standing Desk,Home & Garden,Furniture,1,475.82,475.82,COD,Phone,Returned
ORD-2023000145,2023-04-23,Customer_2,East,Shanghai,Canon EOS R6,Electronics,Cameras,4,2862.19,11448.76,Alipay,Store,Processing
ORD-2023000146,2025-10-15,Customer_192,South,Guangzhou,Yoga Mat Premium,Sports,Yoga,3,43.41,130.23,Bank Transfer,Website,Processing
ORD-2023000147,2024-12-26,Customer_19,West,Xi'an,Dark Chocolate Box,Food & Beverage,Snacks,2,14.99,29.98,Bank Transfer,App,Cancelled
ORD-2023000148,2025-04-08,Customer_182,North,Tianjin,MacBook Air,Electronics,Laptops,3,1226.25,3678.75,Bank Transfer,Store,Completed
ORD-2023000149,2025-07-31,Customer_177,West,Chengdu,Camping Tent 4P,Sports,Outdoor,2,326.03,652.06,WeChat Pay,App,Cancelled
ORD-2023000150,2023-06-11,Customer_102,North,Beijing,Silk Dress,Clothing,Women's Wear,5,125.15,625.75,WeChat Pay,Store,Processing
ORD-2023000151,2025-12-22,Customer_131,East,Shanghai,MacBook Air,Electronics,Laptops,5,1246.92,6234.6,Alipay,Store,Shipped
ORD-2023000152,2023-12-22,Customer_155,South,Shenzhen,ThinkPad X1,Electronics,Laptops,2,1296.58,2593.16,Alipay,App,Processing
ORD-2023000153,2024-10-23,Customer_161,West,Chongqing,LED Floor Lamp,Home & Garden,Lighting,5,87.64,438.2,WeChat Pay,Website,Cancelled
ORD-2023000154,2023-04-26,Customer_91,North,Tianjin,Leather Boots,Clothing,Footwear,3,173.13,519.39,COD,App,Shipped
ORD-2023000155,2024-08-10,Customer_20,West,Chongqing,Galaxy S24,Electronics,Smartphones,1,863.6,863.6,Credit Card,Third-party,Returned
ORD-2023000156,2023-03-26,Customer_116,Central,Zhengzhou,Leather Boots,Clothing,Footwear,5,161.59,807.95,COD,Website,Shipped
ORD-2023000157,2025-07-11,Customer_27,Central,Zhengzhou,Standing Desk,Home & Garden,Furniture,2,567.52,1135.04,WeChat Pay,App,Returned
ORD-2023000158,2025-12-09,Customer_134,South,Shenzhen,Canon EOS R6,Electronics,Cameras,4,2867.09,11468.36,COD,Website,Shipped
ORD-2023000159,2023-04-18,Customer_162,East,Hangzhou,Denim Jacket,Clothing,Men's Wear,4,85.5,342.0,WeChat Pay,App,Shipped
ORD-2023000160,2023-11-04,Customer_86,North,Shenyang,Organic Coffee Beans,Food & Beverage,Beverages,4,18.7,74.8,Credit Card,Third-party,Processing
ORD-2023000161,2023-06-23,Customer_80,East,Hangzhou,Data Science 101,Books,Non-Fiction,4,44.43,177.72,COD,Phone,Shipped
ORD-2023000162,2025-05-17,Customer_131,South,Xiamen,Dark Chocolate Box,Food & Beverage,Snacks,5,13.16,65.8,WeChat Pay,App,Shipped
ORD-2023000163,2025-09-22,Customer_50,East,Shanghai,iPad Air,Electronics,Tablets,3,679.45,2038.35,Alipay,Website,Processing
ORD-2023000164,2025-12-14,Customer_10,North,Tianjin,ThinkPad X1,Electronics,Laptops,5,1512.69,7563.45,WeChat Pay,Third-party,Processing
ORD-2023000165,2023-12-06,Customer_185,Central,Zhengzhou,AirPods Pro,Electronics,Headphones,2,225.16,450.32,Bank Transfer,App,Cancelled
ORD-2023000166,2025-07-08,Customer_60,East,Nanjing,Canon EOS R6,Electronics,Cameras,4,2581.91,10327.64,COD,Website,Shipped
ORD-2023000167,2025-08-03,Customer_197,West,Chengdu,Dumbbell Set 20kg,Sports,Fitness Equipment,5,101.93,509.65,WeChat Pay,Phone,Returned
ORD-2023000168,2023-10-11,Customer_65,Central,Zhengzhou,Sony WH-1000XM5,Electronics,Headphones,2,380.54,761.08,Credit Card,Phone,Shipped
ORD-2023000169,2024-08-06,Customer_22,Central,Wuhan,Dark Chocolate Box,Food & Beverage,Snacks,5,16.57,82.85,Alipay,Store,Cancelled
ORD-2023000170,2024-03-30,Customer_116,Central,Wuhan,Silk Dress,Clothing,Women's Wear,1,146.28,146.28,WeChat Pay,App,Cancelled
ORD-2023000171,2023-06-17,Customer_96,North,Tianjin,Standing Desk,Home & Garden,Furniture,3,459.45,1378.35,Alipay,App,Shipped
ORD-2023000172,2023-10-09,Customer_10,North,Shenyang,Data Science 101,Books,Non-Fiction,3,54.36,163.08,WeChat Pay,Phone,Processing
ORD-2023000173,2023-02-08,Customer_66,West,Chongqing,The Great Novel,Books,Fiction,1,28.03,28.03,Alipay,Website,Returned
ORD-2023000174,2024-05-01,Customer_78,Central,Changsha,Silk Dress,Clothing,Women's Wear,1,139.69,139.69,Credit Card,App,Processing
ORD-2023000175,2025-10-20,Customer_153,West,Xi'an,The Great Novel,Books,Fiction,4,21.71,86.84,COD,App,Returned
ORD-2023000176,2023-01-04,Customer_158,Central,Wuhan,Dark Chocolate Box,Food & Beverage,Snacks,2,14.05,28.1,WeChat Pay,Website,Returned
ORD-2023000177,2025-01-08,Customer_18,West,Chengdu,Organic Coffee Beans,Food & Beverage,Beverages,1,20.13,20.13,COD,Third-party,Returned
ORD-2023000178,2023-03-31,Customer_163,Central,Changsha,iPhone 15,Electronics,Smartphones,4,1110.89,4443.56,Bank Transfer,Store,Shipped
ORD-2023000179,2023-08-01,Customer_198,North,Tianjin,MacBook Air,Electronics,Laptops,3,1105.88,3317.64,COD,Store,Processing
ORD-2023000180,2023-12-25,Customer_200,North,Tianjin,Ceramic Mug Set,Home & Garden,Kitchenware,3,31.73,95.19,Bank Transfer,Phone,Processing
ORD-2023000181,2024-02-17,Customer_12,South,Shenzhen,Dark Chocolate Box,Food & Beverage,Snacks,4,12.91,51.64,Alipay,App,Shipped
ORD-2023000182,2023-03-16,Customer_193,East,Nanjing,Denim Jacket,Clothing,Men's Wear,5,78.37,391.85,Alipay,Store,Shipped
ORD-2023000183,2025-01-23,Customer_112,North,Shenyang,Camping Tent 4P,Sports,Outdoor,3,265.32,795.96,Bank Transfer,Phone,Cancelled
ORD-2023000184,2025-11-29,Customer_69,East,Shanghai,Wool Scarf,Clothing,Accessories,4,37.45,149.8,Credit Card,Phone,Completed
ORD-2023000185,2023-07-30,Customer_21,West,Xi'an,Sony WH-1000XM5,Electronics,Headphones,5,327.41,1637.05,WeChat Pay,Store,Shipped
ORD-2023000186,2025-06-28,Customer_90,West,Xi'an,Dark Chocolate Box,Food & Beverage,Snacks,4,13.49,53.96,Bank Transfer,App,Shipped
ORD-2023000187,2025-04-11,Customer_94,Central,Zhengzhou,Running Shoes Pro,Sports,Running,1,130.0,130.0,COD,Website,Completed
