campaign_id,campaign_name,channel,start_date,end_date,budget,spend,impressions,clicks,conversions,revenue_generated,roi_pct,region
CAMP-0021,Referral Program,Email,2023-04-13,2023-04-25,77639.31,80771.61,8532591,654798,37982,11287080.19,13874.1,West
CAMP-0022,Double 11 Sale,App,2023-01-07,2023-02-17,7927.73,6866.25,742182,25758,1905,945808.74,13674.7,South
CAMP-0023,Spring Campaign,Email,2025-06-14,2025-06-26,38713.39,35168.54,6644604,254532,20541,1760782.51,4906.7,East
CAMP-0024,Membership Drive,Website,2023-05-19,2023-06-21,159543.02,159297.26,20920966,771442,17939,2270740.95,1325.5,South
CAMP-0025,Double 11 Sale,App,2023-07-28,2023-09-06,53989.56,51689.36,9203528,282191,13744,5119673.03,9804.7,West
CAMP-0026,Brand Day,Social Media,2023-02-19,2023-03-27,113050.99,117663.02,15385148,502127,16984,5025626.12,4171.2,East
CAMP-0027,New Year Promo,Store,2023-05-07,2023-06-18,140469.64,109762.45,7860834,188591,15412,7576204.28,6802.4,East
CAMP-0028,Double 11 Sale,App,2023-02-02,2023-03-08,54620.61,50714.55,3255332,130349,9982,4445439.16,8665.6,North
CAMP-0029,618 Festival,Website,2023-05-24,2023-06-12,35061.95,33292.16,3163267,198435,12963,5046770.36,15059.0,West
CAMP-0030,Flash Sale,App,2025-08-20,2025-09-01,92896.27,94327.77,8078924,165383,11544,4051104.28,4194.7,South
CAMP-0031,Membership Drive,Website,2023-06-23,2023-07-01,42367.49,42003.61,4720795,266164,22296,10190397.61,24160.8,East
CAMP-0032,Referral Program,Email,2023-01-13,2023-02-23,16851.75,16790.72,2103553,71577,2306,224869.75,1239.3,East
CAMP-0033,Referral Program,Email,2024-10-12,2024-10-31,11474.03,10477.03,1682998,37389,2793,813537.65,7665.0,South
CAMP-0034,Summer Sale,Social Media,2024-10-01,2024-10-22,69549.7,54271.82,3693788,28376,2635,985495.16,1715.9,North
CAMP-0035,Brand Day,Social Media,2023-03-12,2023-04-13,90905.61,79706.47,8584054,86029,4150,2055650.22,2479.0,East
CAMP-0036,Summer Sale,Social Media,2023-09-18,2023-10-18,56022.29,47597.89,7944651,165010,9596,2225171.73,4574.9,North
CAMP-0037,Membership Drive,Website,2024-09-09,2024-09-29,92815.61,90448.57,2745936,145902,10006,4626236.95,5014.8,East
CAMP-0038,Spring Campaign,Email,2024-10-21,2024-12-05,29049.9,25791.11,4963900,215616,7113,2178882.64,8348.2,West
CAMP-0039,Clearance,Store,2024-08-04,2024-09-17,87989.07,79648.94,8582457,142685,12813,4741475.82,5853.0,North
CAMP-0040,Summer Sale,Social Media,2023-11-19,2023-12-26,117861.16,87982.85,8892852,227373,11470,1580138.43,1696.0,West
CAMP-0041,Spring Campaign,Email,2023-02-07,2023-02-19,173060.34,180895.39,20384185,1574943,116455,17877287.73,9782.7,South
CAMP-0042,Spring Campaign,Email,2025-05-01,2025-06-12,131496.01,119311.26,4882153,110629,6761,833938.28,599.0,North
CAMP-0043,Flash Sale,App,2024-11-06,2024-12-18,102493.99,85804.28,14175996,1074223,65519,32302851.09,37547.1,Central
CAMP-0044,Brand Day,Social Media,2025-08-04,2025-08-14,143779.68,128677.93,6472154,103087,1446,186720.03,45.1,South
CAMP-0045,Spring Campaign,Email,2023-06-29,2023-07-06,8174.1,7700.68,641686,24093,489,226024.17,2835.1,Central
CAMP-0046,Flash Sale,App,2024-09-03,2024-10-15,184312.32,172674.36,25180157,355737,21094,8933067.33,5073.4,South
CAMP-0047,Autumn Deal,Third-party,2024-01-28,2024-02-09,61308.96,62599.16,3423801,159129,14889,5255039.35,8294.7,North
CAMP-0048,Clearance,Store,2024-06-06,2024-06-16,158302.91,126124.24,20025665,1251255,74486,10283994.04,8053.9,East
CAMP-0049,Summer Sale,Social Media,2024-02-23,2024-04-07,66696.48,62474.49,1783962,9408,715,355873.92,469.6,West
CAMP-0050,Black Friday,App,2025-07-26,2025-08-13,5684.12,5604.99,353114,10489,805,192603.94,3336.3,North
CAMP-0051,Autumn Deal,Third-party,2023-01-21,2023-01-30,90002.77,93634.87,12828349,470237,8597,734850.96,684.8,West
CAMP-0052,Autumn Deal,Third-party,2023-11-03,2023-11-15,143246.96,135572.92,24327710,1841478,181957,14677738.15,10726.5,West
CAMP-0053,Brand Day,Social Media,2023-11-28,2023-12-11,82770.54,81634.99,15028878,378199,24838,2424740.69,2870.2,Central
CAMP-0054,Double 11 Sale,App,2024-01-12,2024-02-23,153240.71,130325.67,14878578,402689,9130,2779210.8,2032.5,Central
CAMP-0055,Clearance,Store,2024-09-28,2024-10-30,36064.59,32906.29,5236483,233529,13683,4301560.66,12972.2,Central
CAMP-0056,Flash Sale,App,2024-08-02,2024-08-16,97133.29,101820.19,13794421,571049,37285,8684251.9,8429.0,East
CAMP-0057,Clearance,Store,2024-03-15,2024-04-02,75789.16,75437.69,8914957,644189,7797,2571253.11,3308.4,South
CAMP-0058,Double 11 Sale,App,2025-08-23,2025-09-04,30876.7,31136.46,4831136,154055,13315,4594275.38,14655.3,Central
CAMP-0059,Brand Day,Social Media,2025-04-30,2025-05-18,79127.38,63773.03,1590835,109940,8629,4243462.09,6554.0,Central
CAMP-0060,Autumn Deal,Third-party,2025-08-14,2025-08-29,188445.31,183618.81,14437821,624973,60895,7883892.43,4193.6,West
CAMP-0061,Membership Drive,Website,2023-10-25,2023-11-06,135838.02,101646.15,6748449,338497,27271,3287798.23,3134.6,Central
CAMP-0062,New Year Promo,Store,2023-10-15,2023-10-27,123667.58,112200.78,21160329,797335,20676,2877759.61,2464.8,West
CAMP-0063,Autumn Deal,Third-party,2024-06-08,2024-07-22,19517.39,14026.92,2024859,161336,14447,5530637.51,39328.7,East
CAMP-0064,Summer Sale,Social Media,2025-07-27,2025-08-11,25520.98,22809.2,3179440,104805,8909,882489.91,3769.0,West
CAMP-0065,Brand Day,Social Media,2023-05-10,2023-05-17,169759.76,127241.32,21690468,705757,59809,22627466.0,17683.1,North
CAMP-0066,Referral Program,Email,2023-02-20,2023-03-03,128263.06,99640.52,14326720,439297,15269,1560389.16,1466.0,South
CAMP-0067,Spring Campaign,Email,2025-04-27,2025-05-12,59297.0,59450.04,11798282,504168,46766,15742892.27,26380.9,East
CAMP-0068,Double 11 Sale,App,2023-03-01,2023-03-13,99667.59,92509.7,16962454,742162,18170,3451634.57,3631.1,West
CAMP-0069,Spring Campaign,Email,2023-04-03,2023-04-18,198768.73,144181.03,27236305,1243837,116685,47189768.32,32629.5,North
CAMP-0070,Membership Drive,Website,2023-03-09,2023-03-19,158328.73,163084.91,21507846,1322288,20244,2607241.64,1498.7,East
CAMP-0071,Double 11 Sale,App,2024-09-17,2024-10-05,169548.9,171255.92,5266014,348721,6191,978738.33,471.5,North
CAMP-0072,Referral Program,Email,2025-06-20,2025-06-29,150054.29,116981.49,19327528,1247512,18452,5889785.92,4934.8,South
CAMP-0073,Double 11 Sale,App,2023-02-03,2023-03-11,18821.63,16009.03,1114915,6804,654,122755.01,666.8,North
CAMP-0074,Brand Day,Social Media,2024-08-10,2024-09-05,114546.0,93301.16,6127717,403232,9143,2910624.04,3019.6,West
CAMP-0075,Black Friday,App,2024-08-30,2024-10-11,116751.45,117080.87,10338680,153662,5092,2453075.85,1995.2,North
CAMP-0076,Black Friday,App,2025-05-06,2025-05-18,192070.55,187760.69,20238232,315590,16622,6948076.82,3600.5,Central
CAMP-0077,618 Festival,Website,2023-08-07,2023-08-18,11926.73,9735.81,381726,24087,1680,418955.56,4203.2,South
CAMP-0078,618 Festival,Website,2024-04-24,2024-05-19,46600.47,47000.16,7530689,240949,7961,3191208.02,6689.8,South
CAMP-0079,Autumn Deal,Third-party,2025-06-11,2025-06-27,87031.99,62764.55,10907750,855451,42077,16537919.04,26249.1,West
CAMP-0080,Spring Campaign,Email,2024-08-25,2024-10-06,47710.73,45383.01,2621344,72003,4231,685411.05,1410.3,East
CAMP-0081,New Year Promo,Store,2023-11-22,2023-12-13,79611.89,83074.13,15158803,1177513,43347,20126094.03,24126.7,Central
CAMP-0082,Double 11 Sale,App,2023-12-05,2024-01-02,15349.23,15129.84,2816151,162918,7398,1986910.22,13032.4,East
CAMP-0083,Autumn Deal,Third-party,2023-03-23,2023-04-22,192379.58,145402.32,17051111,1017763,11069,1043651.82,617.8,East
CAMP-0084,Autumn Deal,Third-party,2023-04-20,2023-04-29,101209.98,95637.66,14232583,782168,50064,22708176.83,23644.0,North
CAMP-0085,618 Festival,Website,2023-04-13,2023-05-19,156887.29,161514.1,4522943,357181,4185,912264.14,464.8,East
CAMP-0086,Referral Program,Email,2025-08-23,2025-09-27,137985.55,99197.01,14236007,250756,3044,1160301.08,1069.7,East
CAMP-0087,Spring Campaign,Email,2023-11-19,2023-12-13,141233.36,102973.98,4495229,22695,395,54035.18,-47.5,West
CAMP-0088,Autumn Deal,Third-party,2025-03-14,2025-04-26,74682.16,77422.44,929795,64615,5063,1892788.06,2344.8,North
CAMP-0089,618 Festival,Website,2023-11-24,2023-12-08,70765.82,70906.52,13245002,966725,39860,16547400.83,23236.9,Central
CAMP-0090,Summer Sale,Social Media,2024-03-26,2024-04-23,11238.17,8977.97,1720302,72120,5686,2136557.03,23697.8,South
CAMP-0091,Membership Drive,Website,2024-09-01,2024-10-13,14655.91,12074.31,1825648,101424,6891,3195020.56,26361.3,North
CAMP-0092,Double 11 Sale,App,2023-01-10,2023-02-11,61129.9,57287.18,2926460,81369,6096,1008099.44,1659.7,Central
CAMP-0093,618 Festival,Website,2023-01-04,2023-01-28,72900.91,74956.04,13257812,492270,27362,10218789.59,13533.0,East
CAMP-0094,618 Festival,Website,2023-03-15,2023-04-25,63478.92,58064.22,1615410,34898,2402,1080443.75,1760.8,Central
CAMP-0095,New Year Promo,Store,2025-09-09,2025-10-20,75038.96,72486.72,4080269,134791,8227,1164394.7,1506.4,East
CAMP-0096,Black Friday,App,2023-03-14,2023-03-23,16568.35,17186.58,2031195,98148,6671,1648197.66,9490.0,West
CAMP-0097,Brand Day,Social Media,2023-03-02,2023-03-13,111613.39,106143.79,10691346,88809,6446,1169865.73,1002.2,West
CAMP-0098,Brand Day,Social Media,2023-10-01,2023-10-16,144748.01,149777.4,20342818,971790,34992,11338889.19,7470.5,East
CAMP-0099,Spring Campaign,Email,2023-01-22,2023-01-29,81562.95,70182.2,10819633,741018,29696,2476081.48,3428.1,South
CAMP-0100,Flash Sale,App,2023-12-23,2023-12-30,19211.31,14876.87,1221417,29476,2679,420953.56,2729.6,North
CAMP-0101,Membership Drive,Website,2024-07-04,2024-07-27,40835.2,29458.59,1339963,101873,7459,1064919.08,3515.0,South
CAMP-0102,Summer Sale,Social Media,2023-12-05,2023-12-18,18600.08,17819.44,286361,2287,207,53227.37,198.7,North
CAMP-0103,Autumn Deal,Third-party,2023-09-08,2023-09-15,129255.31,133866.67,15474895,557875,18295,1570748.09,1073.4,North
CAMP-0104,618 Festival,Website,2024-01-29,2024-03-01,91594.0,89588.31,11385831,62475,5664,1248883.27,1294.0,West
CAMP-0105,Autumn Deal,Third-party,2025-02-11,2025-03-26,113514.29,118475.72,11340264,785775,68726,8030308.22,6678.0,Central
CAMP-0106,Referral Program,Email,2024-08-30,2024-10-03,65778.55,55144.43,2971158,202743,9674,4041070.47,7228.2,South
CAMP-0107,Double 11 Sale,App,2025-06-24,2025-07-10,94226.76,77624.3,3527429,85319,8403,3813027.76,4812.2,Central
CAMP-0108,New Year Promo,Store,2023-01-02,2023-02-06,27334.22,26798.57,4554476,99851,7755,640330.85,2289.4,South
CAMP-0109,Black Friday,App,2024-12-18,2025-01-04,24300.06,23773.76,3515089,62634,2613,1208151.97,4981.9,North
CAMP-0110,Brand Day,Social Media,2024-08-09,2024-09-16,145943.93,137222.09,16117179,604879,48119,14017825.65,10115.4,South
CAMP-0111,Brand Day,Social Media,2024-01-16,2024-02-13,112296.43,81812.84,9966672,283761,21981,8131042.29,9838.6,West
CAMP-0112,New Year Promo,Store,2024-12-21,2025-01-03,79435.35,69972.01,10123385,620370,49369,22966977.06,32723.1,West
CAMP-0113,Brand Day,Social Media,2025-02-22,2025-04-08,172325.62,124679.15,24440479,1237891,29599,13663438.46,10858.9,West
CAMP-0114,New Year Promo,Store,2025-04-02,2025-05-11,58841.64,60989.7,4213682,37950,707,209161.51,242.9,South
CAMP-0115,Referral Program,Email,2025-02-11,2025-03-20,36690.15,26376.22,3026090,154718,9019,3090038.05,11615.2,South
CAMP-0116,New Year Promo,Store,2024-11-09,2024-11-25,16536.12,12088.54,761112,60169,4147,1605219.73,13178.9,Central
CAMP-0117,Referral Program,Email,2023-04-23,2023-05-04,87184.74,90124.63,7064085,354498,9807,826605.65,817.2,South
CAMP-0118,Referral Program,Email,2024-10-04,2024-10-11,29878.23,27545.2,5397436,139118,10335,1474726.29,5253.8,South
CAMP-0119,New Year Promo,Store,2025-01-04,2025-02-08,102115.27,101877.37,3480793,246042,7856,2997048.13,2841.8,North
CAMP-0120,New Year Promo,Store,2024-05-30,2024-06-11,86496.09,87379.87,7633507,264809,2716,1340160.49,1433.7,North
CAMP-0121,Autumn Deal,Third-party,2025-01-02,2025-02-16,50007.78,49500.8,4792391,151868,13862,1667606.89,3268.8,Central
CAMP-0122,Spring Campaign,Email,2023-05-16,2023-05-27,138338.46,128394.2,25451195,298400,21316,8983435.59,6896.8,North
CAMP-0123,Membership Drive,Website,2023-11-02,2023-12-03,173711.88,124083.58,23517455,1144195,109866,18856444.53,15096.6,North
CAMP-0124,Summer Sale,Social Media,2023-09-11,2023-10-22,165129.7,119456.19,9980430,171315,10462,4358600.44,3548.7,South
CAMP-0125,618 Festival,Website,2024-03-05,2024-04-12,7728.46,5561.07,484446,34569,3359,857980.3,15328.3,West
CAMP-0126,Membership Drive,Website,2025-09-03,2025-09-12,79717.12,75344.57,14064849,159051,8921,2188864.44,2805.1,East
CAMP-0127,Double 11 Sale,App,2023-11-07,2023-12-21,60953.25,58946.27,3442449,186587,9271,2421805.62,4008.5,South
CAMP-0128,Flash Sale,App,2023-11-10,2023-12-25,155191.0,147594.08,17391755,535392,19920,6651242.82,4406.4,South
CAMP-0129,Membership Drive,Website,2023-07-14,2023-07-29,170069.33,141985.63,13123671,886526,15923,7751891.83,5359.6,East
CAMP-0130,Spring Campaign,Email,2025-03-15,2025-04-17,134765.6,137713.23,20709364,1564859,93785,20129617.81,14517.1,South
CAMP-0131,618 Festival,Website,2024-11-26,2025-01-04,170779.32,157574.88,30166506,1358550,73863,36507382.05,23068.3,Central
CAMP-0132,618 Festival,Website,2025-01-27,2025-03-01,33766.19,26473.9,1829760,121769,2145,712847.33,2592.6,West
CAMP-0133,Summer Sale,Social Media,2023-08-14,2023-09-02,114142.6,112059.42,20013666,1181054,114109,22631016.55,20095.6,West
CAMP-0134,New Year Promo,Store,2025-06-29,2025-07-29,135008.54,111737.75,6124518,143400,13684,6550979.86,5762.8,North
CAMP-0135,Referral Program,Email,2023-09-04,2023-09-15,20343.69,20182.14,3454869,154346,7178,1701344.35,8330.0,East
CAMP-0136,Autumn Deal,Third-party,2025-06-03,2025-07-09,156780.59,131169.15,18503704,1029462,56562,23436336.55,17767.3,West
CAMP-0137,Clearance,Store,2024-12-30,2025-01-23,145740.41,150106.72,27630963,833426,23288,11321759.81,7442.5,West
CAMP-0138,Autumn Deal,Third-party,2024-07-31,2024-09-06,198270.0,157584.81,13152856,784041,62662,15074551.12,9466.0,North
CAMP-0139,Black Friday,App,2023-08-02,2023-08-26,29662.27,22602.03,1452285,9671,704,58661.59,159.5,East
CAMP-0140,Clearance,Store,2025-07-28,2025-08-23,104068.89,102525.35,4636125,161951,3697,1517032.52,1379.7,East
CAMP-0141,Clearance,Store,2024-01-26,2024-02-27,63906.98,54726.07,1720583,127663,1432,637882.42,1065.6,East
CAMP-0142,New Year Promo,Store,2023-09-03,2023-10-03,156499.33,141784.55,4614527,85919,1806,761640.49,437.2,North
CAMP-0143,Flash Sale,App,2025-09-03,2025-09-26,131879.7,119249.9,6807303,492130,46597,19708796.05,16427.3,East
CAMP-0144,Autumn Deal,Third-party,2025-06-26,2025-07-22,46630.74,45854.69,4403562,158302,10954,2982961.04,6405.2,North
CAMP-0145,Flash Sale,App,2025-07-14,2025-07-22,10847.6,10044.51,1495280,63065,3643,836551.2,8228.4,South
CAMP-0146,New Year Promo,Store,2025-08-12,2025-08-26,20483.16,19570.87,1856502,136845,8228,1758331.59,8884.4,South
CAMP-0147,Autumn Deal,Third-party,2025-04-15,2025-05-09,149129.25,113588.23,20325958,872216,44883,8624937.25,7493.2,West
CAMP-0148,Double 11 Sale,App,2023-04-26,2023-06-03,42829.13,44444.03,7788451,584382,41434,15348413.69,34434.3,West
CAMP-0149,Autumn Deal,Third-party,2025-06-15,2025-07-01,48400.06,41413.43,3978323,192144,8843,1910475.29,4513.2,South
CAMP-0150,Spring Campaign,Email,2024-04-24,2024-05-01,26737.65,27241.9,3614565,30716,2416,903853.88,3217.9,South
CAMP-0151,Membership Drive,Website,2025-08-12,2025-09-22,17261.95,17687.46,1411859,75789,5248,520416.45,2842.3,North
CAMP-0152,New Year Promo,Store,2024-05-10,2024-05-28,147250.2,106461.81,4833220,192041,16554,2679171.73,2416.6,West
CAMP-0153,Double 11 Sale,App,2024-09-10,2024-10-06,49208.29,44325.97,7111415,445835,13190,3260018.31,7254.6,North
CAMP-0154,Membership Drive,Website,2023-06-18,2023-06-27,43699.6,33619.87,4312169,135099,3225,1308503.4,3792.1,South
CAMP-0155,Referral Program,Email,2023-01-28,2023-03-14,130750.69,117867.13,15313515,633182,20357,2721417.77,2208.9,East
CAMP-0156,Clearance,Store,2023-12-27,2024-01-16,182361.2,137122.04,5299423,302024,25165,4410734.05,3116.6,Central
CAMP-0157,Spring Campaign,Email,2025-07-04,2025-08-13,122661.0,93345.91,6029453,415820,30025,12847346.75,13663.2,South
CAMP-0158,Autumn Deal,Third-party,2023-08-19,2023-09-03,49194.25,41784.98,4445187,346277,18096,2144158.39,5031.4,North
CAMP-0159,Brand Day,Social Media,2025-09-26,2025-11-01,13884.53,10630.04,1332534,85406,1782,521020.95,4801.4,South
CAMP-0160,Spring Campaign,Email,2024-01-26,2024-02-04,24240.71,21137.59,837777,10458,711,341211.09,1514.2,Central
CAMP-0161,Spring Campaign,Email,2025-07-03,2025-08-14,137165.33,126362.46,5654486,66287,5787,2082235.92,1547.8,West
CAMP-0162,Referral Program,Email,2025-02-19,2025-03-14,109155.81,86276.18,7461342,149397,7445,1416897.8,1542.3,South
CAMP-0163,Spring Campaign,Email,2025-09-30,2025-10-20,196519.7,205140.05,7571829,129508,9594,835567.15,307.3,North
CAMP-0164,Clearance,Store,2023-10-27,2023-11-19,199441.96,163769.2,32454799,2250896,137184,52306758.55,31839.3,South
CAMP-0165,New Year Promo,Store,2025-01-21,2025-02-19,83980.34,69868.24,11598131,595505,59178,9980173.55,14184.3,North
CAMP-0166,Black Friday,App,2023-09-06,2023-10-13,173576.18,136365.74,23518437,319980,4795,1182755.29,767.3,West
CAMP-0167,Summer Sale,Social Media,2023-04-18,2023-05-10,6231.02,5820.71,311593,14618,547,71793.95,1133.4,Central
CAMP-0168,Autumn Deal,Third-party,2023-06-02,2023-06-09,178253.33,129252.91,20319331,367548,25544,7501290.7,5703.6,East
CAMP-0169,Flash Sale,App,2024-02-13,2024-03-05,116327.56,110747.71,14928977,506969,19388,3805409.12,3336.1,West
CAMP-0170,Double 11 Sale,App,2024-01-06,2024-02-02,54028.28,39194.95,1689818,87812,1409,163895.92,318.2,East
CAMP-0171,618 Festival,Website,2023-03-21,2023-05-03,154453.29,144511.23,10504547,266515,16327,5904179.74,3985.6,Central
CAMP-0172,Referral Program,Email,2024-01-20,2024-03-04,197029.36,178671.57,17092305,722129,59530,6267509.62,3407.8,North
CAMP-0173,New Year Promo,Store,2023-01-19,2023-02-11,37901.82,39483.77,5396091,55763,4908,1415343.38,3484.6,South
CAMP-0174,Referral Program,Email,2024-11-08,2024-11-20,34185.87,24807.05,1199153,27908,2078,956905.52,3757.4,Central
CAMP-0175,Black Friday,App,2024-04-18,2024-05-29,115473.25,99176.06,1676450,128444,6770,752561.38,658.8,West
CAMP-0176,Membership Drive,Website,2025-07-03,2025-08-09,50108.22,49069.05,9674801,182883,9035,2200469.25,4384.4,North
CAMP-0177,Membership Drive,Website,2025-09-09,2025-10-07,140613.31,145864.11,16279219,661531,39045,8902849.09,6003.5,South
CAMP-0178,Flash Sale,App,2024-12-02,2025-01-14,180521.3,170484.18,11706433,159753,2915,1175866.18,589.7,East
CAMP-0179,Summer Sale,Social Media,2023-07-12,2023-07-20,190993.52,178624.73,28449768,1501296,39562,5236800.98,2831.7,North
CAMP-0180,New Year Promo,Store,2023-05-04,2023-06-17,18504.35,18407.34,2893140,119983,5283,2626383.61,14168.1,Central
CAMP-0181,Flash Sale,App,2024-04-12,2024-05-07,98587.9,93543.97,956600,34977,2116,520896.04,456.8,East
CAMP-0182,Brand Day,Social Media,2024-11-12,2024-12-16,101800.3,81868.86,7784660,301736,11422,5427945.69,6530.0,West
CAMP-0183,Spring Campaign,Email,2024-01-30,2024-02-28,88192.93,92312.66,5429553,161784,1953,356599.92,286.3,East
CAMP-0184,Referral Program,Email,2023-08-14,2023-09-20,43840.07,39723.58,3311475,84210,4075,645145.93,1524.1,West
CAMP-0185,Membership Drive,Website,2023-03-22,2023-04-05,177132.72,159047.72,12411725,592017,26175,5623971.3,3436.0,North
CAMP-0186,Referral Program,Email,2024-01-15,2024-02-28,95860.57,67369.37,5384247,71390,4112,1128013.99,1574.4,South
CAMP-0187,Black Friday,App,2023-11-03,2023-11-25,197552.39,197288.44,24991609,1842191,121342,38226160.05,19275.8,Central
CAMP-0188,Autumn Deal,Third-party,2024-09-18,2024-10-20,72992.78,58291.49,7864526,185610,18099,7177377.18,12212.9,East
CAMP-0189,Referral Program,Email,2023-08-15,2023-09-10,143262.15,139673.09,22406965,625186,13077,4173418.62,2888.0,Central
CAMP-0190,Clearance,Store,2023-09-08,2023-10-23,52279.32,49508.02,8563289,219940,11124,1947748.77,3834.2,East
CAMP-0191,Black Friday,App,2023-09-28,2023-10-06,107535.78,100718.83,13587242,639983,14815,1482278.95,1371.7,East
CAMP-0192,Brand Day,Social Media,2024-03-06,2024-03-21,123060.56,106688.56,20023741,1584369,111239,33809426.92,31589.8,Central
CAMP-0193,Clearance,Store,2025-05-28,2025-06-21,24453.0,18466.73,3578746,285684,22404,5984737.61,32308.2,North
CAMP-0194,Referral Program,Email,2023-06-27,2023-07-11,172782.15,167009.38,16867402,465572,40340,9119018.97,5360.2,East
CAMP-0195,Flash Sale,App,2024-12-27,2025-01-29,77256.09,66858.67,8107614,562958,11996,2191215.96,3177.4,North
CAMP-0196,Summer Sale,Social Media,2023-10-12,2023-11-24,89403.27,72106.9,13447293,216886,14094,4481340.68,6114.9,North
CAMP-0197,New Year Promo,Store,2025-07-07,2025-08-05,25794.04,25086.63,1223415,85373,3414,837326.41,3237.7,East
CAMP-0198,Brand Day,Social Media,2024-12-24,2025-02-07,81363.23,66373.57,4918450,274526,14391,1165283.43,1655.6,West
CAMP-0199,618 Festival,Website,2025-08-02,2025-09-14,123849.37,127630.94,7607745,243730,8981,1696847.34,1229.5,East
CAMP-0200,Black Friday,App,2024-02-02,2024-02-23,21505.2,16730.78,1890369,62049,5562,1137884.15,6701.1,South
CAMP-0201,Spring Campaign,Email,2025-04-28,2025-05-31,35726.41,33395.69,1195200,82884,2282,621064.79,1759.7,South
CAMP-0202,Summer Sale,Social Media,2024-02-21,2024-03-12,132924.54,93917.94,5078916,197098,12249,3575024.65,3706.5,West
CAMP-0203,Brand Day,Social Media,2025-05-01,2025-05-09,11370.56,11109.2,2197728,118313,8751,3997616.81,35884.7,Central
CAMP-0204,Summer Sale,Social Media,2024-01-26,2024-03-10,192056.34,144723.43,23574919,276422,19249,5479499.85,3686.2,East
CAMP-0205,618 Festival,Website,2024-04-21,2024-05-14,41723.11,29754.38,1472528,42541,1019,311157.6,945.8,East
CAMP-0206,Double 11 Sale,App,2023-06-17,2023-07-04,163938.01,149728.79,9472273,325024,8549,3382623.09,2159.2,South
CAMP-0207,Spring Campaign,Email,2023-07-25,2023-08-09,106461.22,80235.7,12894638,73485,842,184128.06,129.5,Central
CAMP-0208,618 Festival,Website,2023-08-09,2023-08-29,176173.87,137486.55,7107686,170747,8906,965791.06,602.5,North
CAMP-0209,Flash Sale,App,2025-07-11,2025-08-14,157746.08,130585.37,21546477,814790,39450,16011981.95,12161.7,Central
CAMP-0210,Clearance,Store,2023-12-22,2024-01-18,53579.07,51539.72,2214999,117686,3407,384519.47,646.1,South
CAMP-0211,Spring Campaign,Email,2025-01-22,2025-03-07,113445.08,89668.16,9204516,208243,6145,2341431.35,2511.2,South
CAMP-0212,Double 11 Sale,App,2023-05-11,2023-06-21,62721.0,45399.69,8840183,429761,32973,16478214.7,36195.9,North
CAMP-0213,618 Festival,Website,2024-04-10,2024-04-27,191734.31,178633.31,6280125,55949,2439,645177.88,261.2,West
